#SampleID	center_name	instrument_model	library_construction_protocol	platform	run_center	target_gene	target_subfragment	genus	species	reads	codigo	Depto	Locality	collection_date	prof	zooxanthellae
S85	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	M.purpurea	33923	542	Choco	Roca Liliana	jul-17	18-25m	AZ
S86	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Heterogorgia	out	41758	568	Choco	Ensenada de Utria	jul-17	4-13m	AZ
S87	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Pacifigorgia	out	42557	576	Choco	Ensenada de Utria	jul-17	4-13m	AZ
S88	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Heterogorgia	out	35648	593	Choco	Ensenada de Utria	jul-17	4-13m	AZ
S89	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Heterogorgia	out	41503	602	Choco	Ensenada de Utria	jul-17	4-13m	AZ
S90	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	M.purpurea	34326	623	Choco	Piedra de Fidel	jul-17	9-15m	AZ
S91	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	M.crassa	44232	624	Choco	Piedra de Fidel	jul-17	9-15m	AZ
S92	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	sp	31328	626	Choco	Piedra de Fidel	jul-17	9-15m	AZ
S93	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	M.fruticosa	33085	628	Choco	Piedra de Fidel	jul-17	9-15m	AZ
S94	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	M.fruticosa	37728	631	Choco	Piedra de Fidel	jul-17	9-15m	AZ
S95	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	sp	41426	633	Choco	Piedra de Fidel	jul-17	9-15m	AZ
S96	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	StLouis	16S rRNA	V4	Muricea	M.fruticosa	49323	652	Choco	Piedra de Fidel	jul-17	9-15m	AZ
ECU022-M-hebes	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	IOWA	16S rRNA	V4	Muricea	M.hebes	98383	ECU022-M-hebes	Ecuador	El-Pelado	oct-18	15-20m	AZ
ECU043-M-austera	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	IOWA	16S rRNA	V4	Muricea	M.austera	94946	ECU043-M-austera	Ecuador	El-Pelado	oct-18	15-20m	AZ
ECU069-M-plantag	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	IOWA	16S rRNA	V4	Muricea	M.plantaginea	87194	ECU069-M-plantag	Ecuador	El-Pelado	oct-18	15-20m	AZ
ECU035-M-californica	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	IOWA	16S rRNA	V4	Muricea	M.californica	85851	ECU035-M-californica	Ecuador	El-Pelado	oct-18	15-20m	Z
CA2-M-elongata	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	IOWA	16S rRNA	V4	Muricea	M.elongata	81673	CA2-M-elongata	Cartagena	Montanita	sep-17	17m	Z
ECU016-M-purpurea	IOWA	Illumina MiSeq	Illumina V4 515, 806bc	Illumina	IOWA	16S rRNA	V4	Muricea	M.purpurea	81577	ECU016-M-purpurea	Ecuador	El-Pelado	oct-18	15-20m	AZ
